prompt,A,B,C,D,E,answer
"What was the role of Harold Wilberforce Hindmarsh Stephen's father, George Milner Stephen?",George Milner Stephen was an Australian politician.,George Milner Stephen was a land speculator.,George Milner Stephen was a Rear Admiral.,George Milner Stephen was a journalist and editor of the Sydney Punch.,George Milner Stephen was the first governor of South Australia.,E
"What was one of Alvin Reeves' occupations during his time in Grayson County, Texas?",Alvin Reeves worked as a tax collector.,Alvin Reeves worked as a farmer.,Alvin Reeves worked as a state game warden.,Alvin Reeves worked as a state park manager.,Alvin Reeves worked as a sheriff.,A
In which countries did Tu Wyllie play rugby union during his off-seasons?,Australia and South Africa,England and Scotland,Wales and New Zealand,Ireland and France,Argentina and Japan,D
When was the minor planet 464343 first discovered?,It was not specified if the minor planet 464343 has been discovered.,19-Jan-05,9-Aug-10,It was not specified in the information provided.,28-Jan-00,E
"Which of the following musicians is known for writing a song about Carrie Fisher, according to her autobiography?",Bob Dylan,Elton John,Mick Jagger,Paul Simon,Bruce Springsteen,D
"What award did Tom Hungerford's debut novel, ""The Ridge and the River,"" win in 1952?",The Pulitzer Prize for Fiction,The ALS Gold Medal,The Man Booker Prize,The National Book Award,The Nobel Prize in Literature,B
What strategy did the Pakistan cricket team adopt in selecting their team for the match against England in the UAE in 2011-12?,Selecting one spin bowler and two pace bowlers,Selecting two full-time spin bowlers and three pace bowlers,Selecting one spin bowler and one pace bowler,Selecting one spin bowler and three pace bowlers,Selecting two full-time spin bowlers and two pace bowlers,B
"Which species of fire ant did Shattuck and his colleagues propose using, based on their assessment of its usage in scientific literature?",S invicta,Neither S invicta nor S wagneri,S wagneri for the Purpose of the Principle of Priority and not for the Principle of Homonymy,S wagneri,Both S invicta and S wagneri,A
What was the capacity of the New Cross Stadium at the time of its closure in 1969?,"26,000","15,000","60,000","75,000","45,000",A
What was George Gordon Leith's role after serving as special assistant to the Canadian Minister of Agriculture Eugene Whelan?,Leith became the chief commissioner of the National Committee on Grain Transportation.,Leith took on a new role as the chief commissioner of the Canadian Grain Commission.,Leith continued to serve as special assistant to the Canadian Minister of Agriculture.,Leith was appointed as chairman for the Canadian Grain Commission after leaving his role as special assistant.,Leith retired from public service after serving as special assistant.,D
What was the outcome of the local party split in relation to James J. Delaney's renomination?,"Delaney won renomination, but Manton received a significant percentage of the vote.","Delaney won renomination with unanimous support from party leaders, including Manton and Mackell.","Manton won renomination and received full support from party leaders, including Mackell.","Delaney was renominated, but Manton's challenge resulted in a tie vote between the two candidates.",Delaney was not renominated due to the party split caused by Manton's challenge.,A
What regions were the British army increasingly involved in as the British empire expanded?,"East Asia, Central America, and Africa","West Indies, North America, and India","South America, Canada, and Southeast Asia","West Africa, South America, and Australia","Caribbean, Australia, and Russia",B
How did Paddy Power assist Nkrumah-Acheampong in his preparation for the 2010 Winter Olympics?,They provided full funding for his travel to Vancouver.,They provided him with equipment for the Olympics.,"They paid for his manager, coach, and physiotherapist to travel to Canada.",They covered the travel costs of his support team.,They paid for his coach and physiotherapist to travel to Canada.,C
"What is the dominant theme explored in Yolanda Blanco's work ""Aposentos""?",The denouncement of atrocities,The glorification of sensuality and sexuality,The awareness of being a woman,The fight for a free country,The voices of witnesses,C
What is unique about the structure of the game Decay in the context of the Half-Life series?,"The game is divided into separate missions, each with a specific objective to pursue, instead of consisting of a single unbroken narrative.",The game follows a linear storyline without any variations or alternate endings.,The game is set in a different universe than the rest of the Half-Life series.,"The game features non-player characters and weapons from the earlier expansion, Opposing Force.",The players have access to a vast selection of Half-Life weapons to assist them in the game.,A
What role did Maj I B Ferguson play in the Battle of Sariwon?,Maj I B Ferguson negotiated the surrender of the North Korean soldiers.,Maj I B Ferguson was the leader of the North Korean soldiers at the roadblock.,"Maj I B Ferguson was responsible for capturing 1,982 KPA soldiers.",Maj I B Ferguson was a tank commander in the Australian Battalion.,Maj I B Ferguson initiated the night battle by attacking the Australian outpost.,C
Why did Hatshepsut celebrate her first Sed jubilee?,"Hatshepsut celebrated her first Sed jubilee to mark the passing of 20 years from the death of her father, Thutmose I.","Hatshepsut celebrated her first Sed jubilee to mark the passing of 40 years from the death of her father, Thutmose I.","Hatshepsut celebrated her first Sed jubilee to mark the passing of 50 years from the death of her father, Thutmose I.","Hatshepsut celebrated her first Sed jubilee to mark the passing of 30 years from the death of her father, Thutmose I.","Hatshepsut celebrated her first Sed jubilee to mark the passing of 10 years from the death of her father, Thutmose I.",D
What was the purpose of establishing the Animal Liberation Press Office?,The Animal Liberation Press Office was founded to provide media relations support to the Animal Liberation Front Supporters Group.,The Animal Liberation Press Office was created to receive anonymous claims of responsibility from activists.,The Animal Liberation Press Office was renamed after the introduction of the Terrorism Act 2000 to avoid police attention.,"The Animal Liberation Press Office was formed to issue statements on behalf of multiple activist groups, not just the Animal Liberation Front.",The Animal Liberation Press Office was established to avoid charges of conspiracy related to media relations.,D
How did Dave Stockton Jr. regain his Tour card for the following year in 1998?,By having a down year on Tour and finishing below 146th on the money list.,By finishing 132nd on the money list and retaining full-time status on Tour.,By finishing 146th on the money list and retaining part-time status on Tour.,By going through qualifying school for the second time.,By recording two top-10 finishes and finishing 120th on the money list.,D
"Which group had a top 10 hit in the UK in 1989, according to the provided Wikipedia excerpt?",Led Zeppelin,Queen,The Beatles,Wet Wet Wet,The Rolling Stones,D
What is one of the challenges in implementing an algorithm with SIMD instructions?,The lack of availability of automatic vectorization in compilers.,The need to overcome the complexity associated with SIMD instructions.,"The requirement for large register files, which increases power consumption and required chip area.","The need for human labor, as most compilers don't generate SIMD instructions from a typical C program.",The need to avoid dependence within series such as code strings.,D
How do fabric softeners impart a softer and fluffier texture to fabrics?,By enhancing the natural elasticity of the fabric,By reducing the friction between fabric fibers,By removing static electricity from the fabric,By chemically altering the composition of the fabric fibers,By increasing the thickness of the fabric,B
What type of sports events does Karthi Gnanasegaram primarily cover for BBC Radio and BBC Sport?,Cycling races,Football matches,Tennis tournaments,Athletics competitions,Golf championships,C
What is Jan Helge Jansen's academic degree?,Jan Helge Jansen obtained a degree in theology from the University of Oslo.,Jan Helge Jansen obtained a degree in political science from the University of Oslo.,Jan Helge Jansen obtained a degree in law from the University of Oslo.,Jan Helge Jansen obtained a degree in economics from the University of Oslo.,Jan Helge Jansen obtained a degree in medicine from the University of Oslo.,A
"Which of the following cultural icons of England ""dates back more than 700 years""?","Gurning, rural English tradition of assuming a distorted facial expression","Maypole dancing, found historically in England and in areas of Wales and Scotland under English influence","Morris dancing, earliest known and surviving English written mention dated to 1448","International Birdman, flying competitions held in Bognor Regis and Worthing, West Sussex","London Marathon, first run 29 March 1981",B
Which two schools merged to form Elgar Technology College?,Perdiswell School ,Elgar Music College,Samuel Southall Merriman's School,"No schools merged, Elgar Technology College was a completely new school",The Elgar School of Arts,A
"In which regions does the hooded leek orchid, Prasophyllum cucullatum, occur?",Esperance Plains and Jarrah Forest,Margaret River and Israelite Bay,Warren biogeographic region,All of the above,None of the above,D
What measure was taken to protect the roots of the Survivor Tree from being damaged by the wall surrounding it?,The roots were cut and transported to a different location where they could reach the soil without hindrance.,A protective barrier was built around the tree to prevent any damage to its roots.,"The roots were placed inside a large pipe, allowing them to extend beyond the wall and reach the soil without being harmed.",The tree was uprooted and then re-planted in an area that was not surrounded by a wall.,The wall was constructed in a way that it would not touch or encroach upon the space where the tree's roots grow.,C
"In the 1954 Italian Karakoram expedition controversy, what caused the oxygen to run out closer to the summit than previously claimed by Compagnoni?",Lacedelli's opposition to the positioning of Camp IX hindering any summit aspirations of Bonatti.,The Italian cylinders leaking before the summit attempt.,Lacedelli's opposition to the positioning of Camp IX causing the oxygen to run out closer to the summit.,Bonatti's miscalculation of the oxygen supply leading to it running out closer to the summit.,Bonatti's insubordination leading Compagnoni to miscalculate the oxygen supply.,B
"What contributes to the ""special architectural and historic interest"" of Ditchling village centre, as designated by the local authority?","Its ""special interest"" and inclusion among the 1,250 listed buildings of all grades in the district of Lewes.",Its designation as a conservation area by the local authority.,Its long history of Nonconformism and the presence of three surviving places of worship.,Its Grade II listed status and recognition as a nationally important building.,"Its location within the district of Lewes and listing as one of 1,162 Grade II listed buildings.",C
What are the main attractions at the North Bengal Science Centre established in 1997?,Mild to medium trekking challenges at some points.,Both C and D.,Digital Planetarium and Science Shows.,"Super Cold Show-Showing low temperature properties of matter, Amazing Chemistry, Unexpected Science, etc.","Rare Mountain goat, Chital, Barking dear, Fishing cat, Sambar deer, tiger, elephant and Indian bison and migratory birds.",B
What is one of the examples of the models proposed by cosmologists and theoretical physicists without the cosmological or Copernican principles that can be used to address specific issues in the Lambda-CDM model and distinguish between current models and other possible models?,"The Copernican principle, which proposes that Earth, the Solar System, and the Milky Way are not at the centre of the universe, but instead, the universe is expanding equally in all directions. This principle is a modification of the Lambda-CDM model and has been shown to explain several observational results.","The cosmological principle, which proposes that Earth, the Solar System, and the Milky Way are at the centre of the universe. This principle is a modification of the Lambda-CDM model and has been shown to explain several observational results.","The principle of dark energy, which proposes that a new form of energy, not previously detected, is responsible for the acceleration of the expansion of the universe. This principle is a modification of the Lambda-CDM model and has been shown to explain several observational results.","Inhomogeneous cosmology, which models the universe as an extremely large, low-density void, instead of using the concept of dark energy. According to the model, this theory can match the observed accelerating universe and cosmological constant, but it contradicts the Copernican principle.","Inhomogeneous cosmology, which states that the universe is entirely homogeneous and isotropic, directly proportional to the density of matter and radiation. This model proposes that everything in the universe is completely uniform, but it does not match observations.",D
"What was the primary reason for a great decrease in business for Delgadillo, the owner of establishments along old US 66 in Arizona?",Delgadillo struggled to organize a meeting of small business owners with establishments along old US 66.,Delgadillo's business declined as a result of a decrease in the external observation of electrical effects.,Delgadillo faced pressure between the surfaces of his establishments leading to a decrease in business.,"Delgadillo's business suffered due to the end of employee layovers by the Atchison, Topeka and Santa Fe Railway in Seligman.",Delgadillo failed to get former US 66 in Arizona designated as a historic route.,D
"What was the role of Marfa, also known as the ""great nun,"" in the early years of Mikhail's reign?",Marfa declined to bless her son and let him go to Moscow during the first years of his reign.,Marfa was exiled during the early years of Mikhail's reign.,Marfa exerted great influence on her moribund and listless son during the first years of his reign.,Marfa was killed during the early years of Mikhail's reign.,Marfa played no role in the early years of Mikhail's reign.,C
What was Viktor Mardusin's final role before becoming the commander of a destroyer?,Viktor Mardusin was the assistant commander of a Molniya-class small missile ship.,Viktor Mardusin started as a commander of the anti-aircraft missile battery of a small missile ship.,Viktor Mardusin served as weapons commander of the Nanuchka-class small missile ship Grad.,Viktor Mardusin became the senior assistant commander of the Kilden-class destroyer.,Viktor Mardusin was the commander of the destroyer.,D
What was Gum's contribution to Fluminense F.C.'s performance in the 2009 Copa Sudamericana?,Gum scored the winning goal in the final match of the Copa Sudamericana.,Gum scored the most goals for Fluminense F.C. in the 2009 Copa Sudamericana.,Gum scored a goal in the second leg against LDU Quito.,Gum scored a goal in the opening match of the Copa Sudamericana.,Gum scored a goal in the qualifying match for the Copa Sudamericana.,C
What criteria are assessed during the judging process of the Lake Tahoe Concours d'Elegance boat show?,"The judging system primarily considers the age and rarity of the boats, awarding points accordingly.",The judging system assesses the boats based on their historical significance and contribution to the boating industry.,"The judging system focuses on the aesthetics of the boats, including their overall design, elegance, and visual appeal.","The judging system focuses on specific aspects such as hardware, finish, wiring, and upholstery, examining them thoroughly for any discrepancies. Points are deducted for incorrect wiring, varnish color, imperfections in the finish, upholstery color, and hardware that does not match the original boat.","The judging system evaluates boats based on their speed, maneuverability, and overall performance in the water.",D
What was the purpose of the adapted Vickers Wellington bomber during World War II?,To conduct bombing raids on German targets.,To identify the success rate of tracking aircraft.,To serve as a decoy for the British Royal Air Force.,To test electronic characteristics of German airborne apparatus.,To monitor and intercept Luftwaffe night fighters.,C
What kind of military training did Alfredo Reinado receive from the Australian Defence Force?,Logistics operations,Emergency management,Combat tactics,Defence management,Intelligence analysis,B
"In which year did Nicole Kidman star in the film ""Eyes Wide Shut"" with her then-husband Tom Cruise?",1999,2003,1995,2001,1997,A
What is one limitation of using fluorescent natural bases in DNA applications?,Fluorescent natural bases are not effective in in situ hybridization.,"Fluorescent natural bases fail due to self-quenching, reducing their intensity as visual DNA tags.",Fluorescent natural bases do not bind directly to fluorophores.,Fluorescent natural bases cannot be used in microarrays.,Fluorescent natural bases have a limited application in polymorphism analysis.,B
What was Michael Rush's occupation after his unsuccessful rowing championship attempt?,A store-keeper operating a floating store during the sugar-cane harvesting season. ,A champion rower who later became an instructor at Rocky Mouth.,A professional rower who participated in various outrigger wager boat competitions. ,A prize money collector for rowing championships. ,An itinerant laborer moving into the district during the sugar-cane harvesting season.,A
What happened to Chris Bigras during the 2017-18 NHL season?,"Bigras began the season with the Avalanche, played 15 games, and was then reassigned to the San Antonio Rampage due to an injury. He was later traded to the New York Rangers.",Bigras was a healthy scratch for the entire season and did not play any games with the Avalanche.,Bigras started the season with the Avalanche but was traded to the New York Rangers before playing any games.,Bigras played the entire season with the Colorado Avalanche and achieved multiple assists.,Bigras suffered a season-ending injury and was unable to play any games.,A
"What is the population of Ayyub village in Saqqez County, Kurdistan Province, Iran?","Ayyub village has a population of 100, in 20 families.","Ayyub village has a population of 200, in 40 families.","Ayyub village has a population of 195, in 39 families.","Ayyub village has a population of 500, in 50 families.","Ayyub village has a population of 39, in 195 families.",C
What is the cause of the color change in the Kawah Putih acid lake?,The concentration of sulfur in the Kawah Putih acid lake determines the color change.,The color of the Kawah Putih acid lake changes due to the presence of various mineral precipitations in the water.,The pH level of the Kawah Putih acid lake determines the color change based on its acidity or alkalinity.,The color change in the Kawah Putih acid lake is a result of the temperature fluctuations of the water.,"The sand and rocks surrounding the Kawah Putih acid lake release minerals that interact with the acidic lake water, causing the color change.",A
Which of the following accurately describes Mark Gantt's acting career?,"Mark Gantt's acting roles were primarily in films, with occasional appearances in TV shows.",Mark Gantt trained as an actor and director at the Beverly Hills Playhouse under Milton Katselas.,"Mark Gantt started his acting career by working in the Art Department, Props, and Production on various projects, while training at the Beverly Hills Playhouse.","Mark Gantt has collaborated with renowned actors such as Brad Pitt and Burt Reynolds in Ocean's Eleven and The Hollywood Sign, respectively.","Mark Gantt has mainly focused on acting in television shows, including Alias, Without A Trace, and Buffy The Vampire Slayer.",D
"When was Cricket Ireland made a Full Member of the ICC, achieving Test-status for men?",1945,1890,2000,2017,1923,D
What is one of the challenges faced by the city of Yabassi in Cameroon?,"The city of Yabassi is prone to frequent earthquakes, posing a constant threat to its infrastructure.","Yabassi lacks healthcare facilities, causing difficulties in accessing medical services.","Yabassi lacks a reliable water supply, which affects the daily lives of its residents.","Yabassi suffers from frequent power outages, making it difficult for businesses and residents to function.","Due to its dense forest, Yabassi is exploited by loggers, with most companies being Asian.",E
Which geographical location did the 1st Middlesex Engineers move to after being stationed at Blandford Camp?,None of the above,Herefordshire,London,Dorset,Wiltshire,B
How many wives did Helaman Pratt have?,Three,Four,Five,One,Two,B
What type of controls were equipped in the cab of the South African Class DS locomotive?,Mechanically interlocked dual controls,Electrically interlocked dual controls,Digitally interlocked dual controls,Hydraulically interlocked dual controls,Pneumatically interlocked dual controls,A
What phase of the 1060 Project off-season improvements began after the end of the 2017 season for the Chicago Cubs?,The completion of off-season improvements for the team,The construction of improvements under the seats behind home plate,The takeover of free-to-air broadcasts by WLS-TV,The construction of premier luxury clubs around the park,The implementation of secondary over the air broadcasting,B
What was the duration of Agha Mohammad Shah's pilgrimage to the Imam Reza shrine in Mashhad?,1 day,10 days,23 days,5 days,15 days,C
What is the main method of development and dissemination of technical information carried out by the Association for Preservation Technology International?,Sustainable Preservation,Workshops and symposia,Preservation Engineering,Technical committees with specific focus areas,Local events including visits to sites of interest,D
What is Tracy Robinson's area of expertise in the field of law?,"Tracy Robinson's expertise lies in criminal law, with a particular focus on gender-based violence and child rights.","Tracy Robinson's expertise lies in administrative law, with a particular focus on sexual harassment and the interpretation and utilization of law by intergovernmental organizations.","Tracy Robinson's expertise lies in constitutional law, with a particular focus on sexual and reproductive rights and civil society.","Tracy Robinson's expertise lies in international human rights law, with a particular focus on social inequality and the impact of gender and sexuality on legal vulnerability and empowerment.","Tracy Robinson's expertise lies in family law, with a particular focus on same-sex sexuality and the law.",D
How will the new Greenwich headquarters of the Palestine Exploration Fund benefit the organization?,"The new headquarters will enhance the PEF's focus on developing collaborative projects with other institutions, rather than providing additional space or resources.",The new headquarters will primarily serve as a symbolic representation of the PEF's commitment to the study of Palestine.,The new headquarters will allow the PEF to establish stronger ties with other institutions in the UK and engage in international projects.,"The new headquarters will provide more space for the PEF collections and its specialist library, enabling them to welcome more scholars and engage in collaborative projects.","The new headquarters will allow the PEF to study the country, its people, and its natural, ancient, and cultural heritage more extensively.",D
In what year did Nouha Dicko make his international debut for Mali?,2014,2012,2013,2015,2016,A
What is the relationship portrayed between Raymond and his mother in The Manchurian Candidate?,The novel and movie adaptations clearly depict an incestuous relationship between Raymond and his mother.,The novel and movie adaptations ambiguously suggest a problematic relationship between Raymond and his mother.,The novel and movie adaptations prominently feature a romantic relationship between Raymond and his mother.,The novel and movie adaptations ignore and omit any suggestion of an incestuous relationship between Raymond and his mother.,The novel and movie adaptations hint at an incestuous relationship between Raymond and his mother through a kiss.,D
In what year was the Atago Maru converted into an oil tanker?,1942,1924,1943,1924 and again in 1942,1924 and again in 1943,C
In which position did Charlie Hemphill play the fewest number of games during his career?,Center field,Right field,Second base,Left field,The information is not provided in the excerpt.,D
What position did the Montenegro team finish in at the 2012 Summer Olympics?,Fourth,First,Second,Fifth,Third,A
"How was the main road corridor northwards from Oslo to Gardermoen upgraded to connect with Oslo Airport, Gardermoen?","The main road corridor was widened to four lanes north to Hvam, and to four lanes north to Gardermoen.","The main road corridor was widened to four lanes north to Hvam, and to two lanes north to Gardermoen.","The main road corridor was widened to eight lanes north to Hvam, and to six lanes north to Gardermoen.","The main road corridor was widened to six lanes north to Hvam, and to two lanes north to Gardermoen.","The main road corridor was widened to six lanes north to Hvam, and to four lanes north to Gardermoen.",E
How is a PROFINET device identified on the PROFINET network?,"By its serial number, obtained through Connection establishment.","By its station name, obtained through Connection establishment.","By its domain name, obtained through Connection establishment.","By its IP address, obtained through Connection establishment.","By its MAC address, obtained through Connection establishment.",B
Which type of samples can be ionized using spark ionization?,Only semi-conducting samples,Conducting samples,Both conducting and non-conducting samples,Non-conducting samples,Semi-conducting samples,C
What was the significance of the order drafted by Attorney General Taney and Navy Secretary Levi Woodbury on September 25?,The order established a new system of government funds allocation.,The order authorized the transfer of funds from state banks to national banks.,The order designated Kendall as special agent in charge of removal.,The order initiated the removal of funds from selected state banks.,The order declared a switch from deposit banking to national banking.,E
"According to Professor Fairchild, what is one of the most remarkable instances of inverted logic on a large scale that mankind has ever displayed?",Organizing as masters instead of as servants in our lives.,Organizing as servants instead of as masters in our lives.,Organizing as producers while neglecting our role as consumers in our lives.,Organizing as consumers instead of as consumers in our lives.,Organizing as consumers instead of as producers in our lives.,E
What is the birthplace of the lifeguard service of the German Red Cross?,Frankfurt,Hamburg,Regensburg,Munich,Berlin,C
"What was the year when Haworth company purchased the Italian furniture group, Poltrona Frau?",2015,2012,2010,2014,2013,D
What conference did Old Dominion Monarchs baseball belong to in 2013?,ACC Conference,American Athletic Conference,C-USA Conference,CAA Conference,SEC Conference,D
What was the outcome of quarterfinal 2 in the Women's 500 metres short track speed skating event at the 1998 Winter Olympics?,There is not enough information to determine the outcome.,Chikage Tanaka from Japan advanced to the semifinals.,North Korea's Jong Ok-myong advanced to the semifinals.,Chikage Tanaka from Japan was disqualified.,North Korea's Jong Ok-myong was disqualified.,B
What is the significance of Koryun Nahapetyan in the history of art and political activism?,He was a prominent advocate for Armenian independence from the Soviet Union.,He was a leading member of the Moscow Artists' Union in the 1990s.,He was part of a movement advocating for the preservation of traditional art techniques.,He was a renowned painter and sculptor in the 20th century.,He played a key role in the formation of the Moscow School of Art in the 1980s.,D
"What do Navin, Alyson, and Riva's advisor, the robot General Pil, do in order to defeat the shadows and escape to a portal in the comic Amulet?","They find a hidden weapon cache in Lucien and use powerful weapons to destroy the shadows, clearing a path to the portal.","They evacuate everyone via the underground trains, eliminating as many shadows as possible, before finally escaping to a portal where they borrow mech suits from Pil's parents.","They rely on Riva Ash's telepathic abilities to incapacitate the shadows, giving them enough time to escape to the portal safely.",They use advanced technology to create a force field that protects them from the shadows as they make their way to the portal.,They defeat the shadows using a magic spell taught by Riva Ash and then ride magical creatures to reach the portal.,B
"Who took over as the creative force, lead vocalist, and lyricist for Basement 5 in 1979?",Bob Marley,Public Image Ltd,Dennis Morris,Winston Fergus,Don Letts,C
What was the impact of Ted Alletson's hitting performance during the cricket match?,Ted Alletson's hitting performance in the cricket match led to him breaking the world record for runs scored off a single over.,Ted Alletson's hitting performance in the cricket match resulted in him scoring a significant number of runs.,Ted Alletson's hitting performance in the cricket match was a result of the fear that Killick had towards bowling to him.,Ted Alletson's hitting performance in the cricket match did not have any special significance.,Ted Alletson's hitting performance in the cricket match caused damage to the pavilion clock and bar.,A
What were the main reasons for the expansion of Yiwu Airport?,The airport had a limited number of civilian flights and required expansion to accommodate more flights.,"Yiwu Airport was facing a significant increase in passenger traffic, necessitating expansion to handle the growing demand.",The runway and terminal building were outdated and needed to be renovated to meet modern standards.,"Increased investment of 100 million yuan allowed for the expansion of the airport, resulting in improved facilities and services.",The local government decided to invest 300 million yuan in order to attract more tourists to the region.,D
In which province is the village of Now Bagh located?,Iran,Miyan Jovin Rural District,Helali District,Joghatai County,Razavi Khorasan Province,E
How is the teaching of German as a foreign language being introduced in Cyprus?,German can only be chosen as the second foreign language in Northern Cyprus.,German is not taught as a foreign language in Cyprus.,"German is offered as an optional subject from grammar school level upwards, after English and French.","German is offered as a semi-compulsory foreign language in Cyprus, along with English and French.","German is a compulsory foreign language in Cyprus, along with English and French.",C
How did Zach Collaros prevent himself from becoming a free agent on February 11?,"By purchasing a new home in Aurora, Ontario",By making arrangements with the CFL that allowed him to maintain his free agent status,By getting married to his wife Nicole in February 2019,By becoming acquainted with former Hamilton Tiger-Cats player Andy Fantuz and his wife Amanda,"By signing a two-year contract extension with the Bombers on January 27, 2020",E
What was Sigrid Schultz's father known for?,Being a French sculptor,Being an American painter,Being a journalist,Being an art professor,Being a Norwegian artist,B
"What was included in the 2001 reissue of the album ""Street Corner Queen""?","The bonustrack ""Blue Moment"" from the previous Tribal Eagle EP and new cover art done by Michael Majalahti",The whole Tribal Eagle EP and new cover art done by Michael Majalahti,"The bonustrack ""Blue Moment"" from the previous Tribal Eagle EP and the whole Tribal Eagle EP","The bonustrack ""Blue Moment"" from the previous Tribal Eagle EP and a cover of One Bad Pig hit song ""Red River""","The bonustrack ""Blue Moment"" from the previous Tribal Eagle EP, the whole Tribal Eagle EP, and a cover of One Bad Pig hit song ""Red River""",E
What is Markkleeberger See?,It is a standing wave of a string in harmonic resonance.,It is a type of multi-mode vibration phenomenon.,It is a bid made by Leipzig to host the 2012 Summer Olympics.,It is a flooded former open-pit coal mine developed as a tourist area.,It is a flaw in classical physics that results in the misallocation of energy.,D
"What was the reaction of Nigerian online freelancers, digital marketers, and lone entrepreneurs to the incident mentioned in the excerpt?",They protested and showed off their achievements.,They expressed their support for President Buhari's re-election.,They called for a boycott of the 2019 elections.,They criticized CNN's coverage of the incident.,They remained indifferent and did not engage in any reaction.,A
What does the character in Season 1 Episode 2 of The Last Door do to himself?,"Is revealed to be one of the ""Four Witnesses"".",Flees to the Veil and never returns.,Commits suicide by hanging himself.,Burns out his own eyes and constantly physically punishes himself.,Discovers the identity of the unforgivable sin committed.,D
What is Demas Bluff?,Demas Bluff is a rock bluff located on the south side of the Fosdick Mountains in Marie Byrd Land.,Demas Bluff is a rock bluff located on the central part of the Fosdick Mountains in Marie Byrd Land.,Demas Bluff is a rock bluff located on the north side of the Fosdick Mountains in Marie Byrd Land.,Demas Bluff is a rock bluff located on the west side of the Fosdick Mountains in Marie Byrd Land.,Demas Bluff is a rock bluff located on the east side of the Fosdick Mountains in Marie Byrd Land.,A
"What is the historical origin of the name ""Borgo Vecchio"" in Rome?","There is no historical information about the origin of the name ""Borgo Vecchio.""","The road was named after cardinal Michele Bonelli, the promoter of the new road in rione Monti.","The road was named after the via Cornelia, which ran through the Ager Vaticanus region.","The road was named after the city of Alessandria in Piedmont, the birthplace of cardinal Michele Bonelli.",The road was named after the Ager Vaticanus region in which it ran.,B
Who were some of the early members of the British Fascist movement?,"The movement primarily consisted of men from the nobility, such as Lord Glasgow, The Marquess of Ailesbury, Lord Ernest Hamilton, The Baron de Clifford, The Earl Temple of Stowe, Sir Arthur Henry Hardinge and Lord Garvagh.","The movement primarily consisted of intellectual elites, such as philosophers, historians, and writers.",The movement primarily consisted of working-class individuals who sought to challenge the socioeconomic status quo.,"The movement primarily consisted of women from high society, such as Dorothy, Viscountess Downe, Lady Sydenham of Combe, Baroness Zouche and Nesta Webster.",The movement primarily consisted of young students and university graduates who were dissatisfied with the political climate.,A
When did the KDHP Tea Museum open?,1 April 1885,1-Apr-10,1-Apr-05,1 April 1880,1-Apr-15,C
When were the minor planets 152829 and 152831 discovered?,4-Nov-99,4-Nov-97,3-Nov-99,It is not stated in the excerpt.,4-Nov-01,A
What type of matches are included in the 2006-07 3 Mobile Ashes Series in Cricket 07?,Both warm up matches and ODIs,Both warm up matches and Test matches,Only warm up matches,Only Test matches,Only ODIs,D
How are cars typically restricted in a compact city?,"Cars have limited access to the main boulevards, while having greater access to the ""inner garden"" that surrounds the apartment blocks.","Cars have unrestricted access to all parts of the compact city, including the main boulevards and the ""inner garden.""","Cars have limited access to the supermarket, school, kindergarten, pub, restaurant, grocery, library, gym, or public transportation.",Cars do not have any restrictions in a compact city and can freely move around.,"Cars have unlimited access to the main boulevards, while having limited access to the ""inner garden"" that surrounds the apartment blocks.",A
Which term accurately describes songs of the same period that criticize wars but do not explicitly condemn the wars or their leaders?,Songs of protest,Songs of rebellion and solution,Songs of complaint,Songs of solution,Songs of rebellion,C
"In Harry Potter and the Goblet of Fire, what did Harry have to protect from Voldemort and one of his faithful followers at Hogwarts?",The Prisoner of Azkaban,The Order of the Phoenix,The Chamber of Secrets,The Half-Blood Prince,The Sorcerer's Stone,E
What was one of the tactics used by the Mongols during the Mongol conquest of Khwarezmia?,The Mongols successfully negotiated surrender terms with the Khwarezmian capital of Samarkand.,The Mongols employed young men who had not fought to draft into the army and sent the rest of the population into slavery.,The Mongols strategically employed psychological warfare and caused divisions within their adversary.,"The Mongols claimed victory by setting fire to the city, resulting in its destruction.","The Mongols retreated from Bukhara, avoiding confrontation with the Khwarezmians.",C
What skills will be crucial for individuals to develop in order to take advantage of the potential job opportunities created by developments in artificial intelligence and robotics?,Mastery of artificial intelligence and robotics technologies.,Technical programming skills and expertise in advanced algorithms.,Lifelong learning and adaptability.,Teamwork and effective communication.,Proficiency in machine learning and data analysis.,C
Which individual in the Duke of Richmond family is the youngest according to the provided Wikipedia excerpt?,Thomas Charles Gordon-Lennox,Information not provided in the excerpt.,Duke of Richmond,Alec George Gordon-Lennox,Philip George Hugh Gordon-Lennox,D
"What was the purpose of establishing the local and regional centers of distance learning by the Open International University of Human Development ""Ukraine""?",The local and regional centers were established to offer training on 50 different specialties of different qualification levels.,The local and regional centers were established to provide education to persons without disabilities.,The local and regional centers were established to provide education to persons with disabilities.,The local and regional centers were established to offer distance learning to 1514 persons.,The local and regional centers were established to implement the European standard education technology.,C
Which bands did Miss May I cite as influences in their early years?,"Blink-182, Green Day, and Taking Back Sunday","Basic blues, pop punk, and Avenged Sevenfold","Stevie Ray Vaughan, Underoath, and Avenged Sevenfold","Blink-182, Stevie Ray Vaughan, and Underoath","Taking Back Sunday, Green Day, and basic blues",C
What is the term used to describe the proportionality factor to the Stefan-Boltzmann law that is utilized in subsequent evaluations of the radiative behavior of grey bodies?,Density,Emissivity,Temperature,Velocity,Permittivity,B
